,rmse_val_loss,rmse_test_loss,sum_val_loss,sum_test_loss,rnn_model,nhid,nlayers,activation,nz
classical-stnn_06-18-17-26-18_8849,2407.2777519636256,2649.9000293362524,8905.69391597168,9264.768632942158,,50,3,sigmoid,10
keras-rnn_07-11-01-35-54_8220,100000000.0,100000000.0,400.35213910828253,1301.6131192762953,GRU_module,100,1,tanh,
keras-rnn_07-11-01-37-57_4449,100000000.0,100000000.0,397.969093367138,2340.849870162798,LSTM_Linear,100,2,tanh,
keras-rnn_07-11-01-39-08_1486,134.1913064936156,190.0873102987966,873.9562441886147,2133.646523347336,GRU_Linear,100,1,tanh,
keras-rnn_07-11-01-39-45_6692,536.9862887474799,389.606447773595,9126.801820118893,5226.554626752054,LSTM_module,100,3,tanh,
ori-stnn_05-12-16-06-12_0454,316.2109775338122,640.4807340560421,5616.0609365181035,6898.856099345555,,100,4,sigmoid,10
v3-stnn_05-12-16-58-50_8071,880.5424043388776,991.9346052600491,6253.177961962495,2478.5923358018385,,100,2,sigmoid,10
