,rmse_test_loss,sum_test_loss
v3-stnn_05-12-18-19-44_5871,17.27510759366616,159.08037736991045
ori-stnn_05-12-18-19-44_8331,18.716916631546713,291.1196322425561
v4-stnn_09-17-02-04-19_0887,93.61560612340128,683.089840755949
classical-stnn_09-13-17-17-05_3375,101.4366196663149,804.687064825195
v4-stnn_09-16-15-17-48_0415,151.85678014447612,287.02202150932783
v4-stnn_09-16-18-32-07_9225,167.27953990813225,1451.2554513953698
v4-stnn_09-16-18-42-46_6437,185.1580986515168,1534.1224347598643
keras-rnn_05-13-10-07-37_3329,100000000.0,260.36381890879835
keras-rnn_05-13-09-46-48_9884,100000000.0,2818.0156750782417
