,rmse_val_loss,rmse_test_loss,sum_val_loss,sum_test_loss,rnn_model,nhid,nlayers,activation,nz
classical-stnn_06-18-17-25-23_1864,96.0348886469359,76.19288758308657,980.2013000596161,317.1402702877254,,50,3,sigmoid,10
keras-rnn_07-11-01-42-00_3329,100000000.0,100000000.0,19.09400725828721,264.14593302716867,GRU_Linear,100,2,tanh,
keras-rnn_07-11-01-43-37_9884,100000000.0,100000000.0,2367.1431035980554,2775.7464637795238,LSTM_module,100,2,tanh,
keras-rnn_07-11-08-53-57_1719,16.064159106182796,55.831343620054184,73.43484392851627,721.3514728786073,GRU_module,100,3,tanh,
keras-rnn_07-11-08-55-38_9589,94.3494147844212,348.4322266117219,1699.1502721565048,5312.76842257823,LSTM_Linear,100,3,tanh,
ori-stnn_05-12-18-19-44_4341,3.223821186891166,18.716893259015293,9.802757591160445,291.11950615081344,,0,1,sigmoid,40
v3-stnn_05-12-18-19-44_7937,3.473990140102243,8.992664106670887,33.26161805099881,54.358474841147775,,0,1,tanh,40
