,rmse_test_loss,sum_test_loss
v4-stnn_09-16-14-16-15_4994,711745.0094121828,2539.8784741342192
ori-stnn_05-11-00-03-30_8934,5444862.121734077,7244.4504341506445
v3-stnn_05-11-00-03-30_4097,5632366.352502844,7345.559395319306
v1-stnn_05-11-00-08-18_2934,11044038.988963604,11335.804336545656
ori-stnn_05-11-00-08-18_1987,15858940.158594282,9634.537323879673
classical-stnn_09-13-16-59-27_2235,21807883.367682062,17438.154682755718
v3-stnn_05-11-00-08-18_4608,29501378.622059822,44645.93045629202
keras-rnn_05-12-11-00-42_1851,100000000.0,10281.91664584504
keras-rnn_05-12-11-00-42_5547,100000000.0,934.6824498998285
