,rmse_val_loss,rmse_test_loss,sum_val_loss,sum_test_loss,rnn_model,nhid,nlayers,activation,nz
classical-stnn_07-10-23-16-20_7910,889.1603290188697,10714.187129236037,12429.542740183379,160955.93116441558,,100,3,sigmoid,40
keras-rnn_07-11-01-24-42_5547,100000000.0,100000000.0,162.77538646001855,636.3684495243341,GRU_Linear,100,1,tanh,
keras-rnn_07-11-01-25-19_1851,100000000.0,100000000.0,6982.976955629786,10281.803512950115,LSTM_Linear,100,1,tanh,
keras-rnn_07-11-01-26-09_9595,177.01869160641905,426.19312372515276,2510.841451244818,5728.923274118454,GRU_Linear,100,1,tanh,
keras-rnn_07-11-01-27-01_5985,628.6300792078817,1012.723091740762,11508.33331408032,15735.609948055044,LSTM_module,100,3,tanh,
ori-stnn_07-11-09-02-22_4935,233.18666736541255,476.4154634932357,4350.716958520005,7447.907119322356,,100,2,tanh,10
v3-stnn_07-11-09-12-03_5128,243.88247895368966,514.1635180908826,4398.911077399159,7971.679220212243,,100,2,tanh,10
